id,colour,crash
1,ec94bf,0.000001
2,fa9982,0.000045
3,3dddb6,0.000072
4,b76c3b,0.000064
5,9d71f0,0.000051
6,a99229,0.000009
7,3c5d6e,0.000003
8,5e0f4b,0.000074
9,7fa791,0.000026
10,7d9f4b,0.000032
11,533fce,0.000069
12,70d0ae,0.000012
13,20bfe9,0.000066
14,90e4a4,0.000085
15,3e7dc7,0.000038
16,7094d5,0.000080
17,026b49,0.000077
18,a510cd,0.000087
19,d6c439,0.000026
20,325971,0.000030
21,6715ce,0.000014
22,f2ed86,0.000009
23,dc03b9,0.000071
24,a5bdc4,0.000075
25,a5f341,0.000066
26,787685,0.000061
27,ce78f2,0.000051
28,ac98ef,0.000001
29,f293dc,0.000047
30,49e24a,0.000076
31,314564,0.000052
32,e10646,0.000073
33,3aec1e,0.000029
34,61b4ec,0.000064
35,66fabe,0.000024
36,72f418,0.000067
37,66ee18,0.000086
38,f0ceee,0.000036
39,f8ab2b,0.000056
40,e8bc09,0.000079
41,369442,0.000038
42,ae7e09,0.000021
43,eb7d22,0.000036
44,fb28db,0.000005
45,89ee47,0.000088
46,288ff9,0.000075
47,92b4b6,0.000015
48,630643,0.000087
49,33bb57,0.000026
50,11dc5d,0.000026
51,54c8e7,0.000040
52,243fb1,0.000030
53,c7f076,0.000047
54,94daf1,0.000017
55,8471f2,0.000077
56,e05bac,0.000085
57,ee4b4b,0.000047
58,a12d73,0.000075
59,33371e,0.000022
60,2b9b95,0.000080
61,b16373,0.000081
62,3fb462,0.000032
63,778510,0.000068
64,518582,0.000053
65,cb3b4f,0.000016
66,d8205a,0.000068
67,c53917,0.000005
68,b27306,0.000086
69,7b4cd2,0.000078
70,1379db,0.000014
71,b92d02,0.000031
72,8a2605,0.000050
73,cf9a57,0.000061
74,163a23,0.000073
75,ead0e8,0.000050
76,c35184,0.000060
77,fb436b,0.000051
78,615771,0.000029
79,b9b302,0.000042
80,c5b179,0.000039
81,a40c1e,0.000080
82,9b5362,0.000062
83,a3956d,0.000073
84,481319,0.000003
85,30f457,0.000049
86,5fd03a,0.000044
87,8e7a8a,0.000038
88,a06da8,0.000063
89,97c51f,0.000006
90,0f99b3,0.000087
91,99b343,0.000028
92,9169cc,0.000088
93,3821f5,0.000068
94,a4bb52,0.000018
95,6f77dc,0.000079
96,1cf6dd,0.000068
97,9c111d,0.000076
98,fb8db2,0.000014
99,156acb,0.000084
100,515b30,0.000035
101,569b6c,0.000051
102,2cc559,0.000079
103,3ab2fd,0.000084
104,1e3e6b,0.000079
105,c64e1d,0.000029
106,500403,0.000056
107,870b2e,0.000089
108,20c0d4,0.000088
109,73cd9e,0.000068
110,d8ea73,0.000081
111,6fcb34,0.000009
112,f086a4,0.000027
113,d2ece6,0.000085
114,dd2648,0.000062
115,027f54,0.000015
116,78c851,0.000039
117,1cb33b,0.000044
118,6d7fc7,0.000047
119,34f10d,0.000022
120,3fe6e2,0.000010
121,9b7587,0.000055
122,5bee2e,0.000052
123,ba416b,0.000051
124,baf4c0,0.000026
125,fe5d2e,0.000032
126,13a902,0.000080
127,d1ea57,0.000063
128,9ccc82,0.000029
