id,colour,crash
1,ec94bf,0.00001
2,fa9982,0.00005
3,3dddb6,0.00002
4,b76c3b,0.00004
5,9d71f0,0.00001
6,a99229,0.00009
7,3c5d6e,0.00003
8,5e0f4b,0.00004
9,7fa791,0.00006
10,7d9f4b,0.00032
11,533fce,0.00069
12,70d0ae,0.00012
13,20bfe9,0.00066
14,90e4a4,0.00085
15,3e7dc7,0.00038
16,7094d5,0.00080
17,026b49,0.00077
18,a510cd,0.00087
19,d6c439,0.00026
20,325971,0.00030
21,6715ce,0.00014
22,f2ed86,0.00009
23,dc03b9,0.00071
24,a5bdc4,0.00075
25,a5f341,0.00066
26,787685,0.00061
27,ce78f2,0.00051
28,ac98ef,0.00001
29,f293dc,0.00047
30,49e24a,0.00076
31,314564,0.00052
32,e10646,0.00073
33,3aec1e,0.00029
34,61b4ec,0.00064
35,66fabe,0.00024
36,72f418,0.00067
37,66ee18,0.00086
38,f0ceee,0.00036
39,f8ab2b,0.00056
40,e8bc09,0.00079
41,369442,0.00038
42,ae7e09,0.00021
43,eb7d22,0.00036
44,fb28db,0.00005
45,89ee47,0.00088
46,288ff9,0.00075
47,92b4b6,0.00015
48,630643,0.00087
49,33bb57,0.00026
50,11dc5d,0.00026
51,54c8e7,0.00040
52,243fb1,0.00030
53,c7f076,0.00047
54,94daf1,0.00017
55,8471f2,0.00077
56,e05bac,0.00085
57,ee4b4b,0.00047
58,a12d73,0.00075
59,33371e,0.00022
60,2b9b95,0.00080
61,b16373,0.00081
62,3fb462,0.00032
63,778510,0.00068
64,518582,0.00053
65,cb3b4f,0.00016
66,d8205a,0.00068
67,c53917,0.00005
68,b27306,0.00086
69,7b4cd2,0.00078
70,1379db,0.00014
71,b92d02,0.00031
72,8a2605,0.00050
73,cf9a57,0.00061
74,163a23,0.00073
75,ead0e8,0.00050
76,c35184,0.00060
77,fb436b,0.00051
78,615771,0.00029
79,b9b302,0.00042
80,c5b179,0.00039
81,a40c1e,0.00080
82,9b5362,0.00062
83,a3956d,0.00073
84,481319,0.00003
85,30f457,0.00049
86,5fd03a,0.00044
87,8e7a8a,0.00038
88,a06da8,0.00063
89,97c51f,0.00006
90,0f99b3,0.00087
91,99b343,0.00028
92,9169cc,0.00088
93,3821f5,0.00068
94,a4bb52,0.00018
95,6f77dc,0.00079
96,1cf6dd,0.00068
97,9c111d,0.00076
98,fb8db2,0.00014
99,156acb,0.00084
100,515b30,0.00035
101,569b6c,0.00051
102,2cc559,0.00079
103,3ab2fd,0.00084
104,1e3e6b,0.00079
105,c64e1d,0.00029
106,500403,0.00056
107,870b2e,0.00089
108,20c0d4,0.00088
109,73cd9e,0.00068
110,d8ea73,0.00081
111,6fcb34,0.00009
112,f086a4,0.00027
113,d2ece6,0.00085
114,dd2648,0.00062
115,027f54,0.00015
116,78c851,0.00039
117,1cb33b,0.00044
118,6d7fc7,0.00047
119,34f10d,0.00022
120,3fe6e2,0.00010
121,9b7587,0.00055
122,5bee2e,0.00052
123,ba416b,0.00051
124,baf4c0,0.00026
125,fe5d2e,0.00032
126,13a902,0.00080
127,d1ea57,0.00063
128,9ccc82,0.00029
