id,name,length,speed,from,to
1,Road #1,60.00,70.00,36,58
2,Road #2,40.00,50.00,13,20
3,Road #3,20.00,70.00,111,1
4,Road #4,50.00,60.00,30,42
5,Road #5,30.00,50.00,127,80
6,Road #6,50.00,80.00,44,37
7,Road #7,50.00,110.00,121,70
8,Road #8,90.00,110.00,112,126
9,Road #9,60.00,50.00,9,32
10,Road #10,10.00,70.00,34,76
11,Road #11,40.00,80.00,30,86
12,Road #12,40.00,110.00,95,38
13,Road #13,70.00,50.00,105,78
14,Road #14,90.00,50.00,31,40
15,Road #15,40.00,50.00,99,61
16,Road #16,40.00,60.00,77,45
17,Road #17,80.00,110.00,114,23
18,Road #18,40.00,90.00,21,1
19,Road #19,50.00,100.00,68,54
20,Road #20,20.00,80.00,47,92
21,Road #21,10.00,80.00,48,127
22,Road #22,10.00,100.00,101,97
23,Road #23,90.00,50.00,74,77
24,Road #24,20.00,110.00,49,76
25,Road #25,10.00,110.00,14,98
26,Road #26,80.00,70.00,116,59
27,Road #27,70.00,100.00,46,125
28,Road #28,80.00,90.00,91,17
29,Road #29,60.00,100.00,125,29
30,Road #30,10.00,70.00,83,9
31,Road #31,90.00,80.00,123,77
32,Road #32,30.00,80.00,45,83
33,Road #33,90.00,110.00,12,44
34,Road #34,80.00,90.00,91,105
35,Road #35,20.00,70.00,47,117
36,Road #36,60.00,50.00,66,128
37,Road #37,90.00,110.00,7,71
38,Road #38,90.00,80.00,75,70
39,Road #39,60.00,80.00,82,118
40,Road #40,90.00,60.00,106,35
41,Road #41,40.00,50.00,35,9
42,Road #42,80.00,60.00,107,105
43,Road #43,30.00,60.00,35,72
44,Road #44,80.00,50.00,75,17
45,Road #45,40.00,110.00,13,6
46,Road #46,60.00,90.00,47,38
47,Road #47,50.00,60.00,44,106
48,Road #48,50.00,80.00,9,127
49,Road #49,70.00,70.00,24,116
50,Road #50,80.00,110.00,78,121
51,Road #51,30.00,110.00,109,15
52,Road #52,50.00,80.00,93,104
53,Road #53,70.00,100.00,82,72
54,Road #54,40.00,80.00,111,31
55,Road #55,20.00,90.00,113,50
56,Road #56,10.00,70.00,61,25
57,Road #57,30.00,100.00,49,84
58,Road #58,10.00,70.00,59,66
59,Road #59,20.00,100.00,121,68
60,Road #60,10.00,80.00,113,89
61,Road #61,30.00,60.00,37,102
62,Road #62,50.00,100.00,3,13
63,Road #63,20.00,80.00,17,65
64,Road #64,10.00,50.00,62,8
65,Road #65,40.00,90.00,65,113
66,Road #66,50.00,60.00,101,84
67,Road #67,60.00,80.00,57,82
68,Road #68,60.00,80.00,3,52
69,Road #69,60.00,60.00,91,36
70,Road #70,10.00,80.00,103,50
71,Road #71,90.00,100.00,2,111
72,Road #72,70.00,70.00,78,72
73,Road #73,20.00,60.00,36,6
74,Road #74,50.00,80.00,19,41
75,Road #75,70.00,100.00,42,4
76,Road #76,80.00,70.00,20,39
77,Road #77,50.00,110.00,80,36
78,Road #78,10.00,60.00,35,64
79,Road #79,40.00,70.00,64,5
80,Road #80,30.00,60.00,28,70
81,Road #81,40.00,90.00,54,40
82,Road #82,10.00,60.00,16,36
83,Road #83,10.00,100.00,76,17
84,Road #84,70.00,90.00,49,79
85,Road #85,50.00,70.00,107,120
86,Road #86,90.00,80.00,68,75
